Freq.	(V(V)/V(I))*-1000
1.73780082874939e+01	(3.10392912906898e+01dB,-5.87662009875775e+01°)
1.75388050184177e+01	(3.09806199176897e+01dB,-5.89992699547025e+01°)
1.77010895831743e+01	(3.09216616474697e+01dB,-5.92313276145859e+01°)
1.78648757485206e+01	(3.08624189738444e+01dB,-5.94623630890923e+01°)
1.80301774085958e+01	(3.08028944058711e+01dB,-5.96923658139028e+01°)
1.81970085860999e+01	(3.07430904667405e+01dB,-5.99213255382773e+01°)
1.83653834334836e+01	(3.06830096926807e+01dB,-6.01492323245205e+01°)
1.85353162341482e+01	(3.06226546318735e+01dB,-6.03760765472710e+01°)
1.87068214036581e+01	(3.05620278433551e+01dB,-6.06018488926675e+01°)
1.88799134909631e+01	(3.05011318959763e+01dB,-6.08265403572889e+01°)
1.90546071796326e+01	(3.04399693673475e+01dB,-6.10501422468262e+01°)
1.92309172891017e+01	(3.03785428428125e+01dB,-6.12726461748858e+01°)
1.94088587759279e+01	(3.03168549144166e+01dB,-6.14940440613081e+01°)
1.95884467350600e+01	(3.02549081799134e+01dB,-6.17143281305653e+01°)
1.97696964011187e+01	(3.01927052417796e+01dB,-6.19334909097934e+01°)
1.99526231496889e+01	(3.01302487062501e+01dB,-6.21515252269003e+01°)
2.01372424986240e+01	(3.00675411823518e+01dB,-6.23684242083945e+01°)
2.03235701093624e+01	(3.00045852809902e+01dB,-6.25841812771342e+01°)
2.05116217882558e+01	(2.99413836140176e+01dB,-6.27987901499434e+01°)
2.07014134879106e+01	(2.98779387933458e+01dB,-6.30122448350483e+01°)
2.08929613085406e+01	(2.98142534300660e+01dB,-6.32245396295173e+01°)
2.10862814993331e+01	(2.97503301335804e+01dB,-6.34356691163659e+01°)
2.12813904598273e+01	(2.96861715107867e+01dB,-6.36456281619149e+01°)
2.14783047413055e+01	(2.96217801652379e+01dB,-6.38544119126284e+01°)
2.16770410481971e+01	(2.95571586963396e+01dB,-6.40620157921835e+01°)
2.18776162394957e+01	(2.94923096985772e+01dB,-6.42684354982417e+01°)
2.20800473301892e+01	(2.94272357607750e+01dB,-6.44736669992623e+01°)
2.22843514927032e+01	(2.93619394653163e+01dB,-6.46777065311270e+01°)
2.24905460583580e+01	(2.92964233874493e+01dB,-6.48805505938221e+01°)
2.26986485188384e+01	(2.92306900945968e+01dB,-6.50821959478942e+01°)
2.29086765276779e+01	(2.91647421456518e+01dB,-6.52826396109045e+01°)
2.31206479017561e+01	(2.90985820903332e+01dB,-6.54818788539195e+01°)
2.33345806228102e+01	(2.90322124685458e+01dB,-6.56799111977217e+01°)
2.35504928389603e+01	(2.89656358097745e+01dB,-6.58767344092061e+01°)
2.37684028662490e+01	(2.88988546324511e+01dB,-6.60723464975201e+01°)
2.39883291901951e+01	(2.88318714434231e+01dB,-6.62667457103532e+01°)
2.42102904673620e+01	(2.87646887373657e+01dB,-6.64599305299868e+01°)
2.44343055269399e+01	(2.86973089962469e+01dB,-6.66518996694763e+01°)
2.46603933723436e+01	(2.86297346888188e+01dB,-6.68426520686953e+01°)
2.48885731828241e+01	(2.85619682701269e+01dB,-6.70321868904154e+01°)
2.51188643150960e+01	(2.84940121810073e+01dB,-6.72205035163169e+01°)
2.53512863049793e+01	(2.84258688476450e+01dB,-6.74076015430306e+01°)
2.55858588690567e+01	(2.83575406811322e+01dB,-6.75934807779992e+01°)
2.58226019063462e+01	(2.82890300770418e+01dB,-6.77781412356867e+01°)
2.60615354999892e+01	(2.82203394150432e+01dB,-6.79615831333282e+01°)
2.63026799189541e+01	(2.81514710584720e+01dB,-6.81438068869804e+01°)
2.65460556197557e+01	(2.80824273540198e+01dB,-6.83248131075142e+01°)
2.67916832481906e+01	(2.80132106313562e+01dB,-6.85046025965159e+01°)
2.70395836410887e+01	(2.79438232027886e+01dB,-6.86831763422679e+01°)
2.72897778280807e+01	(2.78742673629784e+01dB,-6.88605355157075e+01°)
2.75422870333820e+01	(2.78045453886192e+01dB,-6.90366814664363e+01°)
2.77971326775932e+01	(2.77346595381731e+01dB,-6.92116157186825e+01°)
2.80543363795174e+01	(2.76646120515930e+01dB,-6.93853399672964e+01°)
2.83139199579941e+01	(2.75944051500822e+01dB,-6.95578560737809e+01°)
2.85759054337498e+01	(2.75240410358782e+01dB,-6.97291660623731e+01°)
2.88403150312664e+01	(2.74535218919983e+01dB,-6.98992721160068e+01°)
2.91071711806664e+01	(2.73828498820819e+01dB,-7.00681765724935e+01°)
2.93764965196156e+01	(2.73120271501805e+01dB,-7.02358819205607e+01°)
2.96483138952438e+01	(2.72410558205731e+01dB,-7.04023907960812e+01°)
2.99226463660822e+01	(2.71699379976634e+01dB,-7.05677059781535e+01°)
3.01995172040205e+01	(2.70986757657477e+01dB,-7.07318303852856e+01°)
3.04789498962802e+01	(2.70272711889746e+01dB,-7.08947670717189e+01°)
3.07609681474074e+01	(2.69557263111631e+01dB,-7.10565192236795e+01°)
3.10455958812839e+01	(2.68840431557415e+01dB,-7.12170901556049e+01°)
3.13328572431562e+01	(2.68122237256274e+01dB,-7.13764833065311e+01°)
3.16227766016842e+01	(2.67402700031508e+01dB,-7.15347022365104e+01°)
3.19153785510080e+01	(2.66681839499919e+01dB,-7.16917506229735e+01°)
