Freq.	((V(v))/(-V(i)))*1000
1.00000000000000e+02	(3.71965473134604e+01dB,-8.99623345682966e+01°)
1.02329299228075e+02	(3.69965473740031e+01dB,-8.99614572283903e+01°)
1.04712854805090e+02	(3.67965474374003e+01dB,-8.99605594526525e+01°)
1.07151930523761e+02	(3.65965475037836e+01dB,-8.99596407650788e+01°)
1.09647819614318e+02	(3.63965475732961e+01dB,-8.99587006785820e+01°)
1.12201845430196e+02	(3.61965476460854e+01dB,-8.99577386947148e+01°)
1.14815362149688e+02	(3.59965477223028e+01dB,-8.99567543034520e+01°)
1.17489755493953e+02	(3.57965478021147e+01dB,-8.99557469828390e+01°)
1.20226443461741e+02	(3.55965478856865e+01dB,-8.99547161987620e+01°)
1.23026877081238e+02	(3.53965479731972e+01dB,-8.99536614047150e+01°)
1.25892541179417e+02	(3.51965480648334e+01dB,-8.99525820414661e+01°)
1.28824955169313e+02	(3.49965481607875e+01dB,-8.99514775367049e+01°)
1.31825673855641e+02	(3.47965482612639e+01dB,-8.99503473048435e+01°)
1.34896288259165e+02	(3.45965483664762e+01dB,-8.99491907465804e+01°)
1.38038426460288e+02	(3.43965484766458e+01dB,-8.99480072487292e+01°)
1.41253754462275e+02	(3.41965485920089e+01dB,-8.99467961837931e+01°)
1.44543977074593e+02	(3.39965487128062e+01dB,-8.99455569096547e+01°)
1.47910838816821e+02	(3.37965488392989e+01dB,-8.99442887692727e+01°)
1.51356124843621e+02	(3.35965489717523e+01dB,-8.99429910902420e+01°)
1.54881661891248e+02	(3.33965491104468e+01dB,-8.99416631845497e+01°)
1.58489319246111e+02	(3.31965492556796e+01dB,-8.99403043481590e+01°)
1.62181009735893e+02	(3.29965494077571e+01dB,-8.99389138605354e+01°)
1.65958690743756e+02	(3.27965495669984e+01dB,-8.99374909844901e+01°)
1.69824365246174e+02	(3.25965497337488e+01dB,-8.99360349656606e+01°)
1.73780082874937e+02	(3.23965499083544e+01dB,-8.99345450319911e+01°)
1.77827941003892e+02	(3.21965500911900e+01dB,-8.99330203935894e+01°)
1.81970085860998e+02	(3.19965502826434e+01dB,-8.99314602420124e+01°)
1.86208713666287e+02	(3.17965504831199e+01dB,-8.99298637501491e+01°)
1.90546071796325e+02	(3.15965506930447e+01dB,-8.99282300714978e+01°)
1.94984459975804e+02	(3.13965509128610e+01dB,-8.99265583398898e+01°)
1.99526231496888e+02	(3.11965511430376e+01dB,-8.99248476690191e+01°)
2.04173794466953e+02	(3.09965513840612e+01dB,-8.99230971518096e+01°)
2.08929613085404e+02	(3.07965516364456e+01dB,-8.99213058602628e+01°)
2.13796208950223e+02	(3.05965519007243e+01dB,-8.99194728445813e+01°)
2.18776162394955e+02	(3.03965521774566e+01dB,-8.99175971329929e+01°)
2.23872113856834e+02	(3.01965524672339e+01dB,-8.99156777308803e+01°)
2.29086765276777e+02	(2.99965527706623e+01dB,-8.99137136206786e+01°)
2.34422881531992e+02	(2.97965530883948e+01dB,-8.99117037610748e+01°)
2.39883291901949e+02	(2.95965534211009e+01dB,-8.99096470863273e+01°)
2.45470891568503e+02	(2.93965537694855e+01dB,-8.99075425062047e+01°)
2.51188643150958e+02	(2.91965541342899e+01dB,-8.99053889047439e+01°)
2.57039578276886e+02	(2.89965545162855e+01dB,-8.99031851402163e+01°)
2.63026799189538e+02	(2.87965549162855e+01dB,-8.99009300441833e+01°)
2.69153480392691e+02	(2.85965553351354e+01dB,-8.98986224211053e+01°)
2.75422870333816e+02	(2.83965557737264e+01dB,-8.98962610474150e+01°)
2.81838293126445e+02	(2.81965562329863e+01dB,-8.98938446712854e+01°)
2.88403150312660e+02	(2.79965567138900e+01dB,-8.98913720115219e+01°)
2.95120922666638e+02	(2.77965572174578e+01dB,-8.98888417572094e+01°)
3.01995172040201e+02	(2.75965577447582e+01dB,-8.98862525669786e+01°)
3.09029543251359e+02	(2.73965582969077e+01dB,-8.98836030678598e+01°)
3.16227766016837e+02	(2.71965588750811e+01dB,-8.98808918555770e+01°)
3.23593656929628e+02	(2.69965594805014e+01dB,-8.98781174923911e+01°)
3.31131121482591e+02	(2.67965601144509e+01dB,-8.98752785075025e+01°)
3.38844156139202e+02	(2.65965607782805e+01dB,-8.98723733958814e+01°)
