Freq.	((V(v))/(-V(i)))*1000
9.99999999999994e+03	(-2.15635059724663e+01dB,-5.94821016416932e+01°)
1.02329299228075e+04	(-2.17133251940962e+01dB,-5.88982573286709e+01°)
1.04712854805089e+04	(-2.18614277994833e+01dB,-5.83079061049584e+01°)
1.07151930523760e+04	(-2.20077781848236e+01dB,-5.77112192797146e+01°)
1.09647819614318e+04	(-2.21523416265312e+01dB,-5.71083805036323e+01°)
1.12201845430196e+04	(-2.22950843719964e+01dB,-5.64995854281956e+01°)
1.14815362149688e+04	(-2.24359737851806e+01dB,-5.58850418339883e+01°)
1.17489755493952e+04	(-2.25749784628702e+01dB,-5.52649694024247e+01°)
1.20226443461741e+04	(-2.27120683480204e+01dB,-5.46395994142640e+01°)
1.23026877081237e+04	(-2.28472148644045e+01dB,-5.40091745849295e+01°)
1.25892541179416e+04	(-2.29803910340285e+01dB,-5.33739486905520e+01°)
1.28824955169313e+04	(-2.31115715934421e+01dB,-5.27341861505043e+01°)
1.31825673855640e+04	(-2.32407331271803e+01dB,-5.20901617100258e+01°)
1.34896288259164e+04	(-2.33678541543242e+01dB,-5.14421597145598e+01°)
1.38038426460288e+04	(-2.34929152779497e+01dB,-5.07904738618422e+01°)
1.41253754462274e+04	(-2.36158992527776e+01dB,-5.01354062910857e+01°)
1.44543977074592e+04	(-2.37367911182351e+01dB,-4.94772671722545e+01°)
1.47910838816820e+04	(-2.38555782717439e+01dB,-4.88163738422162e+01°)
1.51356124843620e+04	(-2.39722505713686e+01dB,-4.81530501591191e+01°)
1.54881661891247e+04	(-2.40868004134695e+01dB,-4.74876256891334e+01°)
1.58489319246110e+04	(-2.41992227996100e+01dB,-4.68204348429383e+01°)
1.62181009735892e+04	(-2.43095154156626e+01dB,-4.61518161101446e+01°)
1.65958690743755e+04	(-2.44176786788449e+01dB,-4.54821111215002e+01°)
1.69824365246173e+04	(-2.45237157900372e+01dB,-4.48116637807057e+01°)
1.73780082874936e+04	(-2.46276327680591e+01dB,-4.41408193222448e+01°)
1.77827941003891e+04	(-2.47294384947588e+01dB,-4.34699234898863e+01°)
1.81970085860997e+04	(-2.48291447177195e+01dB,-4.27993215007013e+01°)
1.86208713666285e+04	(-2.49267660700102e+01dB,-4.21293571877191e+01°)
1.90546071796323e+04	(-2.50223200758733e+01dB,-4.14603721083922e+01°)
1.94984459975803e+04	(-2.51158271437467e+01dB,-4.07927046432591e+01°)
1.99526231496887e+04	(-2.52073105470324e+01dB,-4.01266891107935e+01°)
2.04173794466951e+04	(-2.52967964101391e+01dB,-3.94626549601624e+01°)
2.08929613085402e+04	(-2.53843136708143e+01dB,-3.88009259289785e+01°)
2.13796208950222e+04	(-2.54698940505295e+01dB,-3.81418193035287e+01°)
2.18776162394954e+04	(-2.55535720082880e+01dB,-3.74856451653209e+01°)
2.23872113856832e+04	(-2.56353847079126e+01dB,-3.68327057778086e+01°)
2.29086765276776e+04	(-2.57153719312434e+01dB,-3.61832947987418e+01°)
2.34422881531990e+04	(-2.57935760687527e+01dB,-3.55376968882546e+01°)
2.39883291901947e+04	(-2.58700420204686e+01dB,-3.48961870184298e+01°)
2.45470891568501e+04	(-2.59448171648626e+01dB,-3.42590301145592e+01°)
2.51188643150956e+04	(-2.60179512820713e+01dB,-3.36264805799010e+01°)
2.57039578276884e+04	(-2.60894965079663e+01dB,-3.29987819885252e+01°)
2.63026799189536e+04	(-2.61595072626809e+01dB,-3.23761667598583e+01°)
2.69153480392690e+04	(-2.62280401932026e+01dB,-3.17588559027431e+01°)
2.75422870333815e+04	(-2.62951541233814e+01dB,-3.11470588758255e+01°)
2.81838293126443e+04	(-2.63609100190940e+01dB,-3.05409734968310e+01°)
2.88403150312658e+04	(-2.64253709050379e+01dB,-2.99407857744725e+01°)
2.95120922666636e+04	(-2.64886018825869e+01dB,-2.93466700670414e+01°)
3.01995172040199e+04	(-2.65506700429747e+01dB,-2.87587889738800e+01°)
3.09029543251357e+04	(-2.66116444734461e+01dB,-2.81772935019608e+01°)
3.16227766016835e+04	(-2.66715962475549e+01dB,-2.76023232633767e+01°)
3.23593656929626e+04	(-2.67305983932330e+01dB,-2.70340065595677e+01°)
3.31131121482588e+04	(-2.67887259355756e+01dB,-2.64724607486573e+01°)
3.38844156139200e+04	(-2.68460558732304e+01dB,-2.59177924000377e+01°)
3.46736850452529e+04	(-2.69026672527378e+01dB,-2.53700977535312e+01°)
3.54813389233573e+04	(-2.69586411693872e+01dB,-2.48294629439855e+01°)
3.63078054770098e+04	(-2.70140608572956e+01dB,-2.42959645011884e+01°)
3.71535229097170e+04	(-2.70690117434519e+01dB,-2.37696697077858e+01°)
3.80189396320558e+04	(-2.71235815466750e+01dB,-2.32506370930420e+01°)
3.89045144994277e+04	(-2.71778603760288e+01dB,-2.27389168860049e+01°)
3.98107170553494e+04	(-2.72319408786221e+01dB,-2.22345515923793e+01°)
4.07380277804109e+04	(-2.72859183466176e+01dB,-2.17375764240007e+01°)
4.16869383470332e+04	(-2.73398909347931e+01dB,-2.12480199848716e+01°)
4.26579518801589e+04	(-2.73939597944715e+01dB,-2.07659047245850e+01°)
4.36515832240162e+04	(-2.74482293287817e+01dB,-2.02912476511167e+01°)
4.46683592150959e+04	(-2.75028074287271e+01dB,-1.98240609218518e+01°)
4.57088189614871e+04	(-2.75578057412400e+01dB,-1.93643525036379e+01°)
4.67735141287194e+04	(-2.76133399482086e+01dB,-1.89121268248112e+01°)
4.78630092322634e+04	(-2.76695301379674e+01dB,-1.84673855215582e+01°)
4.89778819368442e+04	(-2.77265011437190e+01dB,-1.80301281468686e+01°)
5.01187233627268e+04	(-2.77843829884643e+01dB,-1.76003529509659e+01°)
5.12861383991360e+04	(-2.78433113254631e+01dB,-1.71780576803610e+01°)
5.24807460249768e+04	(-2.79034279372277e+01dB,-1.67632404047935e+01°)
5.37031796370248e+04	(-2.79648813347289e+01dB,-1.63559004625007e+01°)
5.49540873857620e+04	(-2.80278273318280e+01dB,-1.59560393236661e+01°)
5.62341325190344e+04	(-2.80924297713006e+01dB,-1.55636616522078e+01°)
5.75439937337152e+04	(-2.81588612786393e+01dB,-1.51787763798699e+01°)
5.88843655355584e+04	(-2.82273041203034e+01dB,-1.48013978422878e+01°)
6.02559586074353e+04	(-2.82979511574933e+01dB,-1.44315470618901e+01°)
6.16595001861477e+04	(-2.83710068820671e+01dB,-1.40692531296164e+01°)
6.30957344480188e+04	(-2.84466886470318e+01dB,-1.37145547238847e+01°)
6.45654229034650e+04	(-2.85252279246940e+01dB,-1.33675017491188e+01°)
6.60693448007590e+04	(-2.86068718572440e+01dB,-1.30281572704072e+01°)
6.76082975391976e+04	(-2.86918849052357e+01dB,-1.26965995663123e+01°)
6.91830970918930e+04	(-2.87805506870727e+01dB,-1.23729245261563e+01°)
7.07945784384132e+04	(-2.88731742076618e+01dB,-1.20572483383213e+01°)
7.24435960074984e+04	(-2.89700841895905e+01dB,-1.17497105940242e+01°)
7.41310241300911e+04	(-2.90716358680561e+01dB,-1.14504778104895e+01°)
7.58577575029177e+04	(-2.91782141387936e+01dB,-1.11597476160888e+01°)
7.76247116628685e+04	(-2.92902371688977e+01dB,-1.08777535366875e+01°)
7.94328234724274e+04	(-2.94081605109861e+01dB,-1.06047706481964e+01°)
8.12830516164092e+04	(-2.95324819653750e+01dB,-1.03411223270224e+01°)
8.31763771102663e+04	(-2.96637470939764e+01dB,-1.00871881585221e+01°)
8.51138038202369e+04	(-2.98025557135422e+01dB,-9.84341357639219e+00°)
8.70963589956073e+04	(-2.99495695608818e+01dB,-9.61032132700248e+00°)
8.91250938133737e+04	(-3.01055212027963e+01dB,-9.38852555307798e+00°)
9.12010839355901e+04	(-3.02712246874561e+01dB,-9.17874897922730e+00°)
9.33254300796982e+04	(-3.04475881531219e+01dB,-8.98184413049014e+00°)
9.54992586021427e+04	(-3.06356290696458e+01dB,-8.79881974498380e+00°)
9.77237220955802e+04	(-3.08364924967330e+01dB,-8.63087401227151e+00°)
1.00000000000000e+05	(-3.10514734399809e+01dB,-8.47943656363753e+00°)
