Freq.	((V(v))/(-V(i)))*1000
1.90546071796324e+03	(3.15965645477133e+01dB,-8.98823695561128e+01°)
1.94984459975804e+03	(3.13965655845850e+01dB,-8.98796300362127e+01°)
1.99526231496887e+03	(3.11965666796609e+01dB,-8.98768266752996e+01°)
2.04173794466952e+03	(3.09965678151259e+01dB,-8.98739580601875e+01°)
2.08929613085403e+03	(3.07965690077244e+01dB,-8.98710226334348e+01°)
2.13796208950222e+03	(3.05965702661816e+01dB,-8.98680189174498e+01°)
2.18776162394954e+03	(3.03965715695785e+01dB,-8.98649452300715e+01°)
2.23872113856833e+03	(3.01965729475043e+01dB,-8.98618000397863e+01°)
2.29086765276776e+03	(2.99965743788459e+01dB,-8.98585815826333e+01°)
2.34422881531991e+03	(2.97965758762461e+01dB,-8.98552882146058e+01°)
2.39883291901948e+03	(2.95965774619799e+01dB,-8.98519182178123e+01°)
2.45470891568502e+03	(2.93965791094813e+01dB,-8.98484697494065e+01°)
2.51188643150957e+03	(2.91965808244025e+01dB,-8.98449410438238e+01°)
2.57039578276885e+03	(2.89965826394260e+01dB,-8.98413301731903e+01°)
2.63026799189537e+03	(2.87965845291580e+01dB,-8.98376352376028e+01°)
2.69153480392690e+03	(2.85965865125784e+01dB,-8.98338543604592e+01°)
2.75422870333815e+03	(2.83965885855207e+01dB,-8.98299854658601e+01°)
2.81838293126444e+03	(2.81965907629711e+01dB,-8.98260265276064e+01°)
2.88403150312659e+03	(2.79965930397602e+01dB,-8.98219754249248e+01°)
2.95120922666637e+03	(2.77965954186656e+01dB,-8.98178301451649e+01°)
3.01995172040200e+03	(2.75965979179546e+01dB,-8.98135883486836e+01°)
3.09029543251358e+03	(2.73966005243515e+01dB,-8.98092478337147e+01°)
3.16227766016836e+03	(2.71966032619083e+01dB,-8.98048063514052e+01°)
3.23593656929627e+03	(2.69966061288661e+01dB,-8.98002615870552e+01°)
3.31131121482590e+03	(2.67966091267465e+01dB,-8.97956110563428e+01°)
3.38844156139201e+03	(2.65966122698838e+01dB,-8.97908523005499e+01°)
3.46736850452530e+03	(2.63966155615943e+01dB,-8.97859829081998e+01°)
3.54813389233574e+03	(2.61966190043440e+01dB,-8.97810002375613e+01°)
3.63078054770100e+03	(2.59966226080359e+01dB,-8.97759016672462e+01°)
3.71535229097171e+03	(2.57966263854328e+01dB,-8.97706845934674e+01°)
3.80189396320559e+03	(2.55966303391596e+01dB,-8.97653460555845e+01°)
3.89045144994279e+03	(2.53966344796650e+01dB,-8.97598834894470e+01°)
3.98107170553495e+03	(2.51966388180453e+01dB,-8.97542938746187e+01°)
4.07380277804111e+03	(2.49966433575907e+01dB,-8.97485743241923e+01°)
4.16869383470333e+03	(2.47966481153525e+01dB,-8.97427218157433e+01°)
4.26579518801590e+03	(2.45966530887542e+01dB,-8.97367332533550e+01°)
4.36515832240164e+03	(2.43966583031412e+01dB,-8.97306055068311e+01°)
