Freq.	(V(V)/V(I))*-1000
3.34195040026118e+01	(-6.91880693993108e+01dB,3.32409845008369e+01°)
3.37287308658873e+01	(-6.91749629904449e+01dB,3.32288226085166e+01°)
3.40408189701005e+01	(-6.91618733057984e+01dB,3.32188857262437e+01°)
3.43557947899879e+01	(-6.91487970833301e+01dB,3.32111729780761e+01°)
3.46736850452536e+01	(-6.91357310791975e+01dB,3.32056888361269e+01°)
3.49945167028362e+01	(-6.91226717101335e+01dB,3.32024324996421e+01°)
3.53183169791962e+01	(-6.91096158343176e+01dB,3.32014009225780e+01°)
3.56451133426249e+01	(-6.90965602193771e+01dB,3.32025993234726e+01°)
3.59749335155747e+01	(-6.90835005463644e+01dB,3.32060217966500e+01°)
3.63078054770106e+01	(-6.90704341903583e+01dB,3.32116730935654e+01°)
3.66437574647838e+01	(-6.90573575610385e+01dB,3.32195491964049e+01°)
3.69828179780271e+01	(-6.90442676313079e+01dB,3.32296536213094e+01°)
3.73250157795726e+01	(-6.90311602420107e+01dB,3.32419834351118e+01°)
3.76703798983914e+01	(-6.90180323333822e+01dB,3.32565368269960e+01°)
3.80189396320566e+01	(-6.90048810992682e+01dB,3.32733150504874e+01°)
3.83707245492284e+01	(-6.89917023195650e+01dB,3.32923135260229e+01°)
3.87257644921623e+01	(-6.89784926012212e+01dB,3.33135352410704e+01°)
3.90840895792408e+01	(-6.89652487744569e+01dB,3.33369758281621e+01°)
3.94457302075284e+01	(-6.89519675884717e+01dB,3.33626350394099e+01°)
3.98107170553503e+01	(-6.89386453590964e+01dB,3.33905094664015e+01°)
4.01790810848946e+01	(-6.89252788267001e+01dB,3.34205981397662e+01°)
4.05508535448390e+01	(-6.89118645152189e+01dB,3.34529010272769e+01°)
4.09260659730017e+01	(-6.88983989764805e+01dB,3.34874126403270e+01°)
4.13047501990167e+01	(-6.88848793064181e+01dB,3.35241330735998e+01°)
4.16869383470342e+01	(-6.88713014184275e+01dB,3.35630580610995e+01°)
4.20726628384450e+01	(-6.88576617980322e+01dB,3.36041876089339e+01°)
4.24619563946319e+01	(-6.88439578846435e+01dB,3.36475146006446e+01°)
4.28548520397446e+01	(-6.88301850583215e+01dB,3.36930370879712e+01°)
4.32513831035015e+01	(-6.88163407502435e+01dB,3.37407549665724e+01°)
4.36515832240173e+01	(-6.88024213422763e+01dB,3.37906614639657e+01°)
4.40554863506560e+01	(-6.87884232066458e+01dB,3.38427545116493e+01°)
4.44631267469116e+01	(-6.87743434546709e+01dB,3.38970312796230e+01°)
4.48745389933139e+01	(-6.87601776806854e+01dB,3.39534840881232e+01°)
4.52897579903628e+01	(-6.87459237778242e+01dB,3.40121141081004e+01°)
4.57088189614882e+01	(-6.87315770538435e+01dB,3.40729127580068e+01°)
4.61317574560387e+01	(-6.87171349359131e+01dB,3.41358782372647e+01°)
4.65586093522966e+01	(-6.87025938384787e+01dB,3.42010054214749e+01°)
4.69894108605223e+01	(-6.86879500943135e+01dB,3.42682887073662e+01°)
4.74241985260252e+01	(-6.86731997781025e+01dB,3.43377218390783e+01°)
4.78630092322646e+01	(-6.86583404841862e+01dB,3.44093018144090e+01°)
4.83058802039780e+01	(-6.86433683099023e+01dB,3.44830217389194e+01°)
4.87528490103394e+01	(-6.86282795130716e+01dB,3.45588772946534e+01°)
4.92039535681459e+01	(-6.86130711663829e+01dB,3.46368610710620e+01°)
4.96592321450344e+01	(-6.85977392324186e+01dB,3.47169676180782e+01°)
5.01187233627281e+01	(-6.85822808739503e+01dB,3.47991921099164e+01°)
5.05824662003123e+01	(-6.85666928509124e+01dB,3.48835276851377e+01°)
5.10504999975415e+01	(-6.85509703117726e+01dB,3.49699640135301e+01°)
5.15228644581765e+01	(-6.85351115900258e+01dB,3.50585006303030e+01°)
5.19995996533525e+01	(-6.85191122640545e+01dB,3.51491252399761e+01°)
5.24807460249782e+01	(-6.85029691051967e+01dB,3.52418322057629e+01°)
5.29663443891667e+01	(-6.84866782489281e+01dB,3.53366123765720e+01°)
5.34564359396981e+01	(-6.84702373327031e+01dB,3.54334615910487e+01°)
5.39510622515137e+01	(-6.84536418233839e+01dB,3.55323693733103e+01°)
5.44502652842431e+01	(-6.84368886047656e+01dB,3.56333276972945e+01°)
5.49540873857634e+01	(-6.84199748571250e+01dB,3.57363275391460e+01°)
5.54625712957921e+01	(-6.84028966258218e+01dB,3.58413629540584e+01°)
5.59757601495120e+01	(-6.83856501432617e+01dB,3.59484216936407e+01°)
5.64936974812313e+01	(-6.83682328146245e+01dB,3.60574961250893e+01°)
5.70164272280758e+01	(-6.83506403137025e+01dB,3.61685747936059e+01°)
5.75439937337167e+01	(-6.83328704654233e+01dB,3.62816520346306e+01°)
5.80764417521323e+01	(-6.83149189161636e+01dB,3.63967146491866e+01°)
5.86138164514039e+01	(-6.82967824930712e+01dB,3.65137539561347e+01°)
5.91561634175485e+01	(-6.82784580316912e+01dB,3.66327579802579e+01°)
5.97035286583848e+01	(-6.82599417747779e+01dB,3.67537168488188e+01°)
6.02559586074369e+01	(-6.82412306728618e+01dB,3.68766199625629e+01°)
6.08135001278729e+01	(-6.82223218781886e+01dB,3.70014565774813e+01°)
6.13762005164806e+01	(-6.82032108746513e+01dB,3.71282141000801e+01°)
6.19441075076793e+01	(-6.81838948091156e+01dB,3.72568808554983e+01°)
6.25172692775698e+01	(-6.81643708262571e+01dB,3.73874446303334e+01°)
6.30957344480205e+01	(-6.81446353854808e+01dB,3.75198941232098e+01°)
6.36795520907928e+01	(-6.81246847877477e+01dB,3.76542158759261e+01°)
6.42687717317032e+01	(-6.81045160061232e+01dB,3.77903955663593e+01°)
6.48634433548251e+01	(-6.80841264922254e+01dB,3.79284249629034e+01°)
6.54636174067288e+01	(-6.80635119324185e+01dB,3.80682858763697e+01°)
6.60693448007609e+01	(-6.80426695744460e+01dB,3.82099655832848e+01°)
6.66806769213635e+01	(-6.80215960477457e+01dB,3.83534505728590e+01°)
6.72976656284331e+01	(-6.80002879758508e+01dB,3.84987260188896e+01°)
6.79203632617198e+01	(-6.79787426844183e+01dB,3.86457793840659e+01°)
6.85488226452675e+01	(-6.79569570297712e+01dB,3.87945936082238e+01°)
6.91830970918950e+01	(-6.79349275581668e+01dB,3.89451554155154e+01°)
6.98232404077185e+01	(-6.79126511086396e+01dB,3.90974480005899e+01°)
7.04693068967161e+01	(-6.78901245782005e+01dB,3.92514546386553e+01°)
7.11213513653343e+01	(-6.78673454696817e+01dB,3.94071626275195e+01°)
7.17794291271376e+01	(-6.78443100731519e+01dB,3.95645537042933e+01°)
7.24435960075005e+01	(-6.78210158558689e+01dB,3.97236118831260e+01°)
7.31139083483432e+01	(-6.77974589158057e+01dB,3.98843169950248e+01°)
7.37904230129116e+01	(-6.77736374727371e+01dB,4.00466573346929e+01°)
7.44731973906004e+01	(-6.77495483978638e+01dB,4.02106137055010e+01°)
7.51622894018221e+01	(-6.77251876693353e+01dB,4.03761652535320e+01°)
7.58577575029200e+01	(-6.77005535301362e+01dB,4.05432968370629e+01°)
7.65596606911272e+01	(-6.76756431389321e+01dB,4.07119924804827e+01°)
7.72680585095719e+01	(-6.76504532743289e+01dB,4.08822295862719e+01°)
7.79830110523275e+01	(-6.76249807715968e+01dB,4.10539897775196e+01°)
7.87045789695115e+01	(-6.75992238334631e+01dB,4.12272565145764e+01°)
7.94328234724298e+01	(-6.75731789642613e+01dB,4.14020062893015e+01°)
8.01678063387696e+01	(-6.75468439451227e+01dB,4.15782250027311e+01°)
8.09095899178400e+01	(-6.75202159254588e+01dB,4.17558881123145e+01°)
8.16582371358610e+01	(-6.74932927463675e+01dB,4.19349790411795e+01°)
8.24138115013020e+01	(-6.74660711179368e+01dB,4.21154735328462e+01°)
8.31763771102689e+01	(-6.74385490630880e+01dB,4.22973536515750e+01°)
8.39459986519416e+01	(-6.74107239543500e+01dB,4.24805976393552e+01°)
8.47227414140615e+01	(-6.73825932231447e+01dB,4.26651835056762e+01°)
8.55066712884702e+01	(-6.73541553070563e+01dB,4.28510932641172e+01°)
8.62978547766990e+01	(-6.73254066376676e+01dB,4.30382998331737e+01°)
8.70963589956100e+01	(-6.72963455178822e+01dB,4.32267861339189e+01°)
8.79022516830904e+01	(-6.72669697934673e+01dB,4.34165269045327e+01°)
8.87156012037981e+01	(-6.72372769511884e+01dB,4.36075004363320e+01°)
8.95364765549614e+01	(-6.72072648343560e+01dB,4.37996823680741e+01°)
9.03649473722322e+01	(-6.71769325031012e+01dB,4.39930569074259e+01°)
9.12010839355931e+01	(-6.71462767618365e+01dB,4.41875947972858e+01°)
9.20449571753192e+01	(-6.71152955625477e+01dB,4.43832730471883e+01°)
9.28966386779958e+01	(-6.70839868905180e+01dB,4.45800673615925e+01°)
9.37562006925902e+01	(-6.70523498247092e+01dB,4.47779593190901e+01°)
9.46237161365815e+01	(-6.70203816093054e+01dB,4.49769198281811e+01°)
9.54992586021458e+01	(-6.69880808478523e+01dB,4.51769272388359e+01°)
9.63829023623993e+01	(-6.69554458998983e+01dB,4.53779572432224e+01°)
9.72747223776988e+01	(-6.69224743902423e+01dB,4.55799817790707e+01°)
9.81747943020007e+01	(-6.68891658876344e+01dB,4.57829825652933e+01°)
9.90831944892791e+01	(-6.68555181995283e+01dB,4.59869317391923e+01°)
1.00000000000002e+02	(-6.68215300452159e+01dB,4.61918060527010e+01°)
1.00925288607671e+02	(-6.67871993069506e+01dB,4.63975749472222e+01°)
1.01859138805414e+02	(-6.67525255658312e+01dB,4.66042211447276e+01°)
1.02801629812650e+02	(-6.67175070696918e+01dB,4.68117141665185e+01°)
1.03752841581804e+02	(-6.66821422171912e+01dB,4.70200280315837e+01°)
1.04712854805092e+02	(-6.66464308035301e+01dB,4.72291431615046e+01°)
1.05681750921368e+02	(-6.66103707310819e+01dB,4.74390272423385e+01°)
1.06659612123028e+02	(-6.65739615351225e+01dB,4.76496587148149e+01°)
1.07646521362986e+02	(-6.65372018817289e+01dB,4.78610097243299e+01°)
1.08642562361709e+02	(-6.65000911645106e+01dB,4.80730559886155e+01°)
1.09647819614321e+02	(-6.64626282785993e+01dB,4.82857707573843e+01°)
1.10662378397769e+02	(-6.64248127927958e+01dB,4.84991298957676e+01°)
1.11686324778059e+02	(-6.63866432781176e+01dB,4.87131028078014e+01°)
1.12719745617554e+02	(-6.63481199508367e+01dB,4.89276697646367e+01°)
1.13762728582346e+02	(-6.63092412981505e+01dB,4.91427970903379e+01°)
1.14815362149691e+02	(-6.62700073779596e+01dB,4.93584647230017e+01°)
1.15877735615516e+02	(-6.62304177395646e+01dB,4.95746457722799e+01°)
1.16949939101990e+02	(-6.61904717424317e+01dB,4.97913123837794e+01°)
1.18032063565176e+02	(-6.61501691432268e+01dB,5.00084387877558e+01°)
1.19124200802741e+02	(-6.61095097957272e+01dB,5.02260003825691e+01°)
1.20226443461744e+02	(-6.60684932003777e+01dB,5.04439686822835e+01°)
1.21338885046501e+02	(-6.60271197215696e+01dB,5.06623212058902e+01°)
1.22461619926508e+02	(-6.59853887205030e+01dB,5.08810277308479e+01°)
1.23594743344454e+02	(-6.59433004997916e+01dB,5.11000651229006e+01°)
1.24738351424298e+02	(-6.59008547733868e+01dB,5.13194040056680e+01°)
1.25892541179420e+02	(-6.58580523346990e+01dB,5.15390249289139e+01°)
1.27057410520857e+02	(-6.58148928955957e+01dB,5.17588966048829e+01°)
1.28233058265606e+02	(-6.57713767090990e+01dB,5.19789949627061e+01°)
1.29419584145002e+02	(-6.57275045888701e+01dB,5.21992978396007e+01°)
1.30617088813188e+02	(-6.56832760542798e+01dB,5.24197735289446e+01°)
1.31825673855644e+02	(-6.56386924223466e+01dB,5.26404023723976e+01°)
1.33045441797813e+02	(-6.55937536321371e+01dB,5.28611553402545e+01°)
1.34276496113790e+02	(-6.55484604650950e+01dB,5.30820093244148e+01°)
1.35518941235107e+02	(-6.55028135750700e+01dB,5.33029391688583e+01°)
1.36772882559589e+02	(-6.54568135187922e+01dB,5.35239191484749e+01°)
1.38038426460292e+02	(-6.54104611154488e+01dB,5.37449245533140e+01°)
1.39315680294534e+02	(-6.53637574799531e+01dB,5.39659340696510e+01°)
1.40604752412995e+02	(-6.53167033299573e+01dB,5.41869218444047e+01°)
1.41905752168913e+02	(-6.52692994393603e+01dB,5.44078624875497e+01°)
1.43218789927358e+02	(-6.52215467225078e+01dB,5.46287314650118e+01°)
1.44543977074597e+02	(-6.51734465086776e+01dB,5.48495077778301e+01°)
1.45881426027539e+02	(-6.51249997995281e+01dB,5.50701660092871e+01°)
1.47231250243276e+02	(-6.50762077567790e+01dB,5.52906840503807e+01°)
1.48593564228705e+02	(-6.50270718271682e+01dB,5.55110401289119e+01°)
1.49968483550242e+02	(-6.49775929955988e+01dB,5.57312092375013e+01°)
1.51356124843625e+02	(-6.49277727031360e+01dB,5.59511695648722e+01°)
1.52756605823812e+02	(-6.48776122565729e+01dB,5.61708985704854e+01°)
1.54170045294960e+02	(-6.48271130503291e+01dB,5.63903726764920e+01°)
1.55596563160512e+02	(-6.47762766481182e+01dB,5.66095728319016e+01°)
1.57036280433360e+02	(-6.47251046186110e+01dB,5.68284765037330e+01°)
1.58489319246116e+02	(-6.46735986705823e+01dB,5.70470632472619e+01°)
1.59955802861471e+02	(-6.46217600697976e+01dB,5.72653099181542e+01°)
1.61435855682653e+02	(-6.45695907552415e+01dB,5.74831977194121e+01°)
1.62929603263977e+02	(-6.45170922043561e+01dB,5.77007031955223e+01°)
1.64437172321498e+02	(-6.44642666551236e+01dB,5.79178118798374e+01°)
1.65958690743761e+02	(-6.44111153865599e+01dB,5.81344985057148e+01°)
1.67494287602649e+02	(-6.43576405877868e+01dB,5.83507465773149e+01°)
1.69044093164331e+02	(-6.43038437998631e+01dB,5.85665338506897e+01°)
1.70608238900317e+02	(-6.42497274640685e+01dB,5.87818464584456e+01°)
1.72186857498606e+02	(-6.41952930138109e+01dB,5.89966600228073e+01°)
1.73780082874943e+02	(-6.41405426900166e+01dB,5.92109592064739e+01°)
1.75388050184181e+02	(-6.40854786292591e+01dB,5.94247265812648e+01°)
1.77010895831747e+02	(-6.40301026943727e+01dB,5.96379429026958e+01°)
1.78648757485210e+02	(-6.39744172069259e+01dB,5.98505922710180e+01°)
1.80301774085962e+02	(-6.39184238314730e+01dB,6.00626533579944e+01°)
1.81970085861004e+02	(-6.38621253768743e+01dB,6.02741158868274e+01°)
1.83653834334840e+02	(-6.38055236884799e+01dB,6.04849602221174e+01°)
1.85353162341487e+02	(-6.37486210045657e+01dB,6.06951697054498e+01°)
1.87068214036586e+02	(-6.36914192786120e+01dB,6.09047264765392e+01°)
1.88799134909635e+02	(-6.36339215016005e+01dB,6.11136220832828e+01°)
1.90546071796331e+02	(-6.35761292051628e+01dB,6.13218329521607e+01°)
1.92309172891022e+02	(-6.35180450520344e+01dB,6.15293486827820e+01°)
1.94088587759284e+02	(-6.34596717544905e+01dB,6.17361582005612e+01°)
1.95884467350605e+02	(-6.34010111949403e+01dB,6.19422426897823e+01°)
1.97696964011192e+02	(-6.33420657131561e+01dB,6.21475875706446e+01°)
1.99526231496894e+02	(-6.32828379421861e+01dB,6.23521821816649e+01°)
2.01372424986245e+02	(-6.32233304451517e+01dB,6.25560146609683e+01°)
2.03235701093628e+02	(-6.31635452732092e+01dB,6.27590685670616e+01°)
2.05116217882563e+02	(-6.31034851047014e+01dB,6.29613331430123e+01°)
2.07014134879111e+02	(-6.30431523454542e+01dB,6.31627966305849e+01°)
2.08929613085410e+02	(-6.29825495521392e+01dB,6.33634472727674e+01°)
2.10862814993336e+02	(-6.29216790817685e+01dB,6.35632721763357e+01°)
2.12813904598278e+02	(-6.28605435166419e+01dB,6.37622615035452e+01°)
2.14783047413060e+02	(-6.27991455926465e+01dB,6.39604074254095e+01°)
2.16770410481976e+02	(-6.27374873700192e+01dB,6.41576933337431e+01°)
2.18776162394962e+02	(-6.26755715375650e+01dB,6.43541112051102e+01°)
2.20800473301897e+02	(-6.26134008646202e+01dB,6.45496544792174e+01°)
2.22843514927037e+02	(-6.25509776142398e+01dB,6.47443098759310e+01°)
2.24905460583585e+02	(-6.24883045353068e+01dB,6.49380707834112e+01°)
2.26986485188390e+02	(-6.24253841465818e+01dB,6.51309281681656e+01°)
2.29086765276785e+02	(-6.23622189462775e+01dB,6.53228727346121e+01°)
2.31206479017567e+02	(-6.22988114530196e+01dB,6.55138956752866e+01°)
2.33345806228108e+02	(-6.22351642560590e+01dB,6.57039894702127e+01°)
2.35504928389609e+02	(-6.21712798432852e+01dB,6.58931463857878e+01°)
2.37684028662495e+02	(-6.21071609591591e+01dB,6.60813604911311e+01°)
2.39883291901957e+02	(-6.20428100122344e+01dB,6.62686239413271e+01°)
2.42102904673626e+02	(-6.19782295632209e+01dB,6.64549296749274e+01°)
2.44343055269405e+02	(-6.19134222321944e+01dB,6.66402720866437e+01°)
2.46603933723442e+02	(-6.18483904285650e+01dB,6.68246436216570e+01°)
2.48885731828247e+02	(-6.17831367260402e+01dB,6.70080386534970e+01°)
2.51188643150966e+02	(-6.17176637542623e+01dB,6.71904531919527e+01°)
2.53512863049799e+02	(-6.16519740180618e+01dB,6.73718816949592e+01°)
2.55858588690573e+02	(-6.15860700469866e+01dB,6.75523192507200e+01°)
2.58226019063468e+02	(-6.15199542697567e+01dB,6.77317601869929e+01°)
2.60615354999898e+02	(-6.14536291113373e+01dB,6.79101985077972e+01°)
2.63026799189547e+02	(-6.13870973539540e+01dB,6.80876348578860e+01°)
2.65460556197563e+02	(-6.13203612219534e+01dB,6.82640610839435e+01°)
